,popularity,genre_ids,revenue,12,16,14,9648,35,878,28,10770,10402,10752,27,53,37,36,99,18,10749,10751,80
158,70.899,"[28, 80, 9648, 53]",17976667.0,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True
159,70.75,"[28, 12, 14, 878]",2787965087.0,True,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False
160,70.52600000000002,"[28, 27, 53]",87547518.0,False,False,False,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False
161,70.512,"[27, 878, 53]",427399.0,False,False,False,False,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False
162,70.39399999999998,"[28, 80, 53]",171539887.0,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True
163,70.108,"[28, 35, 80, 53]",22799033.0,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,True
164,70.056,"[12, 16, 35, 10751]",383925276.0,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False
165,69.961,"[28, 12, 14]",708962323.0,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
166,69.563,"[18, 10749]",41063475.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False
167,69.331,"[28, 12, 16, 14, 10751]",26654184.0,True,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False
168,68.977,"[12, 18, 14, 10749]",829000000.0,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False
169,68.605,"[28, 12, 35, 878]",622674139.0,True,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False
170,68.536,"[28, 12, 878]",426245950.0,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False
171,68.512,"[12, 28, 878]",1153296293.0,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False
172,68.437,"[12, 18, 878]",675120017.0,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False
173,68.426,"[16, 14, 10751]",27526961.0,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
174,68.414,"[18, 10749]",2187463944.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False
175,68.252,"[28, 18, 878]",619021436.0,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False,False
176,68.055,[28],292351275.0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
177,67.9,[27],5481562.0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
178,67.421,"[12, 14]",83672673.0,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
179,66.867,"[12, 16, 35, 10751]",373552094.0,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False
180,66.557,"[28, 18, 36, 10752]",2078370.0,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,True,False,False,False
181,66.521,"[12, 16, 35, 14, 10751]",484409218.0,True,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False
182,66.339,"[878, 28, 53, 12]",440603537.0,True,False,False,False,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False
183,66.334,"[12, 18, 14]",653355901.0,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
184,65.941,"[12, 16, 10751]",1274219009.0,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
185,65.884,"[80, 53]",3153.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
186,64.964,"[14, 35, 16, 28, 18, 10749]",6000000.0,False,True,True,False,True,False,True,False,False,False,False,False,False,False,False,True,True,False,False
187,64.786,"[28, 12, 16, 35, 18, 14]",8084148.0,True,True,True,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False
188,64.706,"[28, 878, 12]",407602906.0,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False
189,64.247,"[80, 18, 35]",392000694.0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True
190,64.024,"[28, 53]",18.0,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False
191,63.85,"[16, 35, 10751]",527068851.0,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False
